long_name,var,season,year,CMIP,scen,GCM_scen,sim_type,mn_val,stand_index
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1976,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,2.034442904,-1.6424836430254095
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1977,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,4.047677318,0.7659593681934685
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1978,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,4.768361388,1.6281175449154945
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1979,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,5.187521548,2.1295610682892154
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1980,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,4.387979127,1.1730642278619328
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1981,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,4.462598703,1.262332022544741
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1982,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,4.022610181,0.735971419200006
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1983,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.979199849,0.6840394087033428
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1984,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,2.559969322,-1.0137936008518154
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1985,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.135523866,-0.3252546461068919
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1986,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,2.944461848,-0.5538231519706487
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1987,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,4.305754246,1.0746981664556556
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1988,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.45261702,0.05408557644537906
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1989,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,4.042507605,0.7597748131022812
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1990,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.746120933,0.4052058648303577
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1991,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.267097519,-0.16785238692397922
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1992,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,2.504586819,-1.0800479830373162
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1993,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,4.41292815,1.2029108764505099
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1994,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.440562767,0.03966500962443341
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1995,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,2.59429974,-0.9727239396492515
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1996,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.741786538,0.40002060509457227
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1997,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,2.963611108,-0.5309147906311565
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1998,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.932059748,0.6276454557626981
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),1999,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,2.382748523,-1.225803782987603
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2000,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.063150277,-0.41183555462491894
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2001,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.334737182,-0.08693469919685587
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2002,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.666023843,0.3093852910869422
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2003,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,4.056594704,0.7766272843788321
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2004,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.649319098,0.2894013160119741
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2005,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.727636859,0.3830932690319867
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2006,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,2.767278177,-0.7657889176830437
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2007,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,2.20357739,-1.4401471600356066
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2008,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,2.203681776,-1.4400222825099591
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2009,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,2.254929417,-1.3787144576736683
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2010,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,2.220627029,-1.4197505864385116
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2011,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,2.72386844,-0.8177202163780499
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2012,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,1.812994063,-1.907404066469438
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2013,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,2.529435917,-1.0503208752564175
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2014,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.735484308,0.39248121390741497
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2015,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.713156844,0.3657707502599154
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2016,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,4.627213258,1.459261288097548
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2017,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.060817617,-0.41462612815946703
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2018,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,4.355822813,1.1345954588098548
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2019,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,4.264651103,1.0255262584010976
"potential temperature, bottom 5m mean",temp_bottom5m,Summer (Jul - Sep),2020,K20P19_CMIP6,ssp126,gfdl_ssp126,hind,3.045265935,-0.4332306878496523
